review,rating
"We had two wonderful nights in Dar Chams Tanja upon arriving in Tangier. Noura at the reception made sure we were comfortable and well taken care of at all times, helping us to plan everything from renting a scooter, ordering taxis, arranging for wonderful hammam, restaurants and more. Noura even helped us prepare for our further journey around Morocco by suggesting places to stay and activities to do in other towns. It is rare to meet such dedicated and personally invested staff. All in all we had the best possible stay at the beautiful Dar Chams Tanja and cannot recommend it enough.",5
"Boutique hotel!  each room has its own story. A guest house with a local flavor: hamam, excellent location, delicious breakfast, a wonderful a la carte restaurant for dinner. Nora is 24/7 support! many thanks to the owner - modern, but Morocco is felt in everything...",5
"This is a beautiful guest house with so many little areas to relax.  Breakfast was wonderful on the roof top deck with an unobstructed view of the Atlantic Ocean.   Beds are comfy and the hottest shower i had in Morocco. ( 18 days). Rooms are very spacious, ( we had 2 sitting areas)  Staff is wonderful .Zoubair even  found us some rose wine and chips to top off our evening.   If you are vising tangier, I strongly recommend you stay at  Dar chams, you will not regret it.   ",5
"We spent a wonderful time in a wonderful place. The best we have seen in Tangier, the breakfast is just amazing and the staff so kind and helpful.  Yousra, Simo and Ismail were so nice and super available, gave us great recommendations in Tangier, and we really felt at home.  I will definitely come back and recommend this place to everyone.  Thank you for this amazing experience!  See you soon!",5
"Professionally perfect family-fun riad hotel. Everything was just right, from the location to the room design and facilities. The most enjoyable aspect was the service level and attitude of the owners. Thank you Yousra, for a wonderful experience. We should have stayed longer. ",5
Amazing riad — a 5 star experience. The room was absolutely perfect and the breakfast was delicious. The rooms had all the toiletries and slippers to walk around. The owners and manager were extremely helpful and made sure I was comfortable and happy. Definitely returning and booking again,5
"Fantastic central location . We were welcomed by the lovely French owner , who offered us the traditional mint tea whilst explaining to us how to navigate around the local area and provided us a map. She recommended restaurants and booked the Hammam for myself . We booked 2 rooms which were both incredibly spacious , and a fantastic rain shower. Breakfast was a real delight ! Fresh fruits , feta and warm breads . My daughter had a fresh omelette with hot chocolate .  Can not recommend this place highly enough . Welcoming , clean and traditional . Looking forward to returning.",5
"We were very happy with this lodging choice. The Dar is fully renovated and elegantly decorated. It reminds of a modern Andalusian style with a touch of French elegance. The whole dar was meticulously clean and the owners  are very hospitable and kind people. The breakfast is extremely satisfying and tasty, particularly the Morrocan pancakes and the marmelades. The dar is strategically located minutes from the Medina center near the Kazba. We had a junior suite, which was very comfortable and beautifully decorated. We would definitely return to this dar, if we travelled back to Tangier!",5
My daughter and I enjoyed 4 wonderful days in Tangier and stayed at  Dar Chams Tanjia. The staff were helpful and always on hand. We enjoyed a hearty breakfast on the roof terrace each morning before exploring amazing Tangier. There is so much to see and we recommend staying at Dar Chams for a relaxing experience.,5
"If you enjoy the hustle and bustle of the Medina, this is the place for you. Turns out my husband doesn’t so need to have a different travel companion next time I head to an unsanitised resort! He finds the environment totally intimidating which it probably is to quite a few people. However the staff at this lovely place couldn’t be nicer and more welcoming. Sadly stranded here as no crossings back to Tarifa due to high winds. So heading to the Hilton followed by flight to Gibraltar.... so adventure continues!",5
"This is a very nice riad. The rooms were very nice sand the breakfast is excellent. Location is within the Kasbah, not the easiest to reach by car. Short walk to the petit socco and a bit further to the grand socco. The place is not cheap, but would definitely stay again if in Tangier.",5
"We found everything perfect in the very precise French way that Michelle ran the B&B. The welcome with tea and biscuits was charming, the room and common areas were beautifully decorated in the old Moroccan way and breakfast was full and perfectly cooked and served on the marvellous on the terrace overlooking the city. Madame had booked a walking tour of the old city and a day trip to Chefchaoun for us that added to our Moroccan experience. The prices are not cheap, but are thoroughly worth it. It was one of the high points in our 30 days in Spain and Morocco. You should stay at Dar Chams. ",5
"Charming Riad located in the Medina, within walking distance to souqs, restaurants etc.… you couldn’t ask for a better location!   Vehicles are not able to drop you at the front door of the Riad and therefore park about a half a block away. It’s a bit of a steep descent from the car park to the Riad with many stairs. The taxi drivers will help carry your luggage however if you have mobility issues this may be a challenge. The owner emailed us prior to our trip offering to arrange taxi service for us which we took them up on. The driver was waiting for us at the airport.  The Riad is beautiful inside with lots of mosaic tile and Moroccan charm. Michelle gave us a very warm welcome. She checked us in while we chatted and enjoyed mint tea and cookies.  There is no elevator in the…",5
"We loved our stay at Dar Chams Tanja!  It was recommended to us by our tour guide, and we were very happy with it!  It is a gorgeous property in a perfect, central area of town.  The included breakfast was delicious!  If we are ever back in Tangier, we would certainly stay here again!",5
The room is quite comfortable though the bathroom is not the greatest. Our room was right over the street and it was noisy until 2:00 a.m. which is not the greatest if you are a light sleeper. We had barely checked in when our hostess told us that our room had not been paid for. So we were a little concerned since we were just starting our ten day tour of Morocco. Any way the snafu did get sorted out but I must say it put a damper on how we viewed our hostess and hence I was not too enthused about this place. I am sure there are better places to stay in Tangier. At my most generous I would say that this place is a 3 star. The access is not very good. It's a downhill walk from the area where we were parked.,3
"Dominic and Michelle were very welcoming and we enjoyed our stay here!  While we only had one full day in Tangier, we were given a great recommendation to do a taxi tour of the city.  While this might not sound great at first glance, there is SO much more in Tangier than the old Medina and the legation building.  The service and staff is top notch, breakfast was perfect, and the detail in the room is impeccable.  The riad is extremely close to the taxi drop-off point for the Medina, I believe it is the closest riad from the parking lot at the top of the hill.  The local kids that hang out in the Medina were kind and pointed us in the right direction when we got to the bottom of the stairs (unlike in other cities where they purposely send you in the wrong direction).  Michelle…",5
Exceeded our expectation Staff superb nothing to much trouble The recommendations made by Michelle made our short 3day break unforgettable and wanting more .Breakfast on the roof is a must and sets you up for the whole day :The setting of the guest house and views are truly what you go to Tangier for we were made to feel like one of the family Thank you all,5
