review,rating
"Magnifique site historique surplombant la ville de Tanger. L hotel est situé dans un quartier calme et verdoyant. Le concept et les mets des restaurants sont innovants et réservent de belles surprises. Le spa offre une expérience exaltante avec un clin d œil aux traditions marocaines en démarrant par un rituel ancestral marocain. Staff accueillant et chaleureux, on s y sent comme à la maison.  Nous avons passé un excellent week-end, plongé dans l histoire du Maroc, dans un cadre idéal. Hâte d y retourner !",5
"Un hôtel magnifique avec un volume et une décoration extraordinaire, la nourriture est simplement succulentes, avec un personnel aux petits soins, certainement l’un des meilleurs hôtels de Tanger  Je recommande vivement, les massages du spa",5
"The best place in tangier «  the adress » where you should be!!!!  And the palace is patrimone national!!!!. Every thing is perfect from A to Z . Staff   . Special thanks to our superb  fabien gastinel  and his team.                          The breakfast is so tasty!!!  , the food  we tried at the restaurant was delicious  so we will be back again. Also we tried the spa  very nice !! 10/10",5
"This has got to be one of the most beautiful hotels in the world!!! It looks and feels like a palace and guests are treated like royalty too. There are not enough words to describe my experience at the Fairmont Tazi Palace Tangier, it was a flawless from beginning to end.  The staff are extremely welcoming and friendly, everyone was genuinely happy to talk to us about anything and share local knowledge and experiences; to further enhance our stay in Tangier.  The hotel public area are just beautiful and all offer stunning views over various areas of Tangier. The pool also offers views, surrounded by nice amount of trees and greenery. The restaurant is excellent, offering a menu with daily changes and fresh local produce, the breakfast was very delicious too.  The room design is simply stunning, very tastefully decorated and provides for a comfortable stay. The bathrooms are also on another level, very modern in style and beautifully tiled and with excellent amenities. The balcony overlooks the gardens, which provided a peaceful area during the sunset period, with a chance to reflect on the day in private and appreciate all that Tangier and the hotel have to offer.  It was a shame that I only booked to stay two nights, this hotel can easily be enjoyed for longer and Tangier plus the surroundings have so much to offer.…",5
Magnifique hotel. Deco et matériaux très haut de gamme. Le service est impeccable. Tout est pensé dans le moindre détail. Magnifique vue sur la ville de Tanger en hauteur. Piscine majestueuse. La nourriture est parfaite. Rien a redire...  Bravo au staff de l'hotel et au General Manager.,5
"Magnifique site historique surplombant la ville de Tanger. L hotel est situé dans un quartier calme et verdoyant. Le concept et les mets des restaurants sont innovants et réservent de belles surprises. Le spa offre une expérience exaltante avec un clin d œil aux traditions marocaines en démarrant par un rituel ancestral marocain. Staff accueillant et chaleureux, on s y sent comme à la maison.  Nous avons passé un excellent week-end, plongé dans l histoire du Maroc, dans un cadre idéal. Hâte d y retourner !",5
"Un hôtel magnifique avec un volume et une décoration extraordinaire, la nourriture est simplement succulentes, avec un personnel aux petits soins, certainement l’un des meilleurs hôtels de Tanger  Je recommande vivement, les massages du spa",5
"The best place in tangier «  the adress » where you should be!!!!  And the palace is patrimone national!!!!. Every thing is perfect from A to Z . Staff   . Special thanks to our superb  fabien gastinel  and his team.                          The breakfast is so tasty!!!  , the food  we tried at the restaurant was delicious  so we will be back again. Also we tried the spa  very nice !! 10/10",5
"This has got to be one of the most beautiful hotels in the world!!! It looks and feels like a palace and guests are treated like royalty too. There are not enough words to describe my experience at the Fairmont Tazi Palace Tangier, it was a flawless from beginning to end.  The staff are extremely welcoming and friendly, everyone was genuinely happy to talk to us about anything and share local knowledge and experiences; to further enhance our stay in Tangier.  The hotel public area are just beautiful and all offer stunning views over various areas of Tangier. The pool also offers views, surrounded by nice amount of trees and greenery. The restaurant is excellent, offering a menu with daily changes and fresh local produce, the breakfast was very delicious too.  The room design is simply stunning, very tastefully decorated and provides for a comfortable stay. The bathrooms are also on another level, very modern in style and beautifully tiled and with excellent amenities. The balcony overlooks the gardens, which provided a peaceful area during the sunset period, with a chance to reflect on the day in private and appreciate all that Tangier and the hotel have to offer.  It was a shame that I only booked to stay two nights, this hotel can easily be enjoyed for longer and Tangier plus the surroundings have so much to offer.…",5
Magnifique hotel. Deco et matériaux très haut de gamme. Le service est impeccable. Tout est pensé dans le moindre détail. Magnifique vue sur la ville de Tanger en hauteur. Piscine majestueuse. La nourriture est parfaite. Rien a redire...  Bravo au staff de l'hotel et au General Manager.,5
"Magnifique site historique surplombant la ville de Tanger. L hotel est situé dans un quartier calme et verdoyant. Le concept et les mets des restaurants sont innovants et réservent de belles surprises. Le spa offre une expérience exaltante avec un clin d œil aux traditions marocaines en démarrant par un rituel ancestral marocain. Staff accueillant et chaleureux, on s y sent comme à la maison.  Nous avons passé un excellent week-end, plongé dans l histoire du Maroc, dans un cadre idéal. Hâte d y retourner !",5
"Un hôtel magnifique avec un volume et une décoration extraordinaire, la nourriture est simplement succulentes, avec un personnel aux petits soins, certainement l’un des meilleurs hôtels de Tanger  Je recommande vivement, les massages du spa",5
"The best place in tangier «  the adress » where you should be!!!!  And the palace is patrimone national!!!!. Every thing is perfect from A to Z . Staff   . Special thanks to our superb  fabien gastinel  and his team.                          The breakfast is so tasty!!!  , the food  we tried at the restaurant was delicious  so we will be back again. Also we tried the spa  very nice !! 10/10",5
"This has got to be one of the most beautiful hotels in the world!!! It looks and feels like a palace and guests are treated like royalty too. There are not enough words to describe my experience at the Fairmont Tazi Palace Tangier, it was a flawless from beginning to end.  The staff are extremely welcoming and friendly, everyone was genuinely happy to talk to us about anything and share local knowledge and experiences; to further enhance our stay in Tangier.  The hotel public area are just beautiful and all offer stunning views over various areas of Tangier. The pool also offers views, surrounded by nice amount of trees and greenery. The restaurant is excellent, offering a menu with daily changes and fresh local produce, the breakfast was very delicious too.  The room design is simply stunning, very tastefully decorated and provides for a comfortable stay. The bathrooms are also on another level, very modern in style and beautifully tiled and with excellent amenities. The balcony overlooks the gardens, which provided a peaceful area during the sunset period, with a chance to reflect on the day in private and appreciate all that Tangier and the hotel have to offer.  It was a shame that I only booked to stay two nights, this hotel can easily be enjoyed for longer and Tangier plus the surroundings have so much to offer.…",5
Magnifique hotel. Deco et matériaux très haut de gamme. Le service est impeccable. Tout est pensé dans le moindre détail. Magnifique vue sur la ville de Tanger en hauteur. Piscine majestueuse. La nourriture est parfaite. Rien a redire...  Bravo au staff de l'hotel et au General Manager.,5
"Magnifique site historique surplombant la ville de Tanger. L hotel est situé dans un quartier calme et verdoyant. Le concept et les mets des restaurants sont innovants et réservent de belles surprises. Le spa offre une expérience exaltante avec un clin d œil aux traditions marocaines en démarrant par un rituel ancestral marocain. Staff accueillant et chaleureux, on s y sent comme à la maison.  Nous avons passé un excellent week-end, plongé dans l histoire du Maroc, dans un cadre idéal. Hâte d y retourner !",5
"Un hôtel magnifique avec un volume et une décoration extraordinaire, la nourriture est simplement succulentes, avec un personnel aux petits soins, certainement l’un des meilleurs hôtels de Tanger  Je recommande vivement, les massages du spa",5
"The best place in tangier «  the adress » where you should be!!!!  And the palace is patrimone national!!!!. Every thing is perfect from A to Z . Staff   . Special thanks to our superb  fabien gastinel  and his team.                          The breakfast is so tasty!!!  , the food  we tried at the restaurant was delicious  so we will be back again. Also we tried the spa  very nice !! 10/10",5
