review,rating
"The room, including bathroom, was tired and dated. There was no plug for the bathroom sink, human hairs in bath plughole and the towels were threadbare. We discovered a 2"" hatpin on the bedroom floor (nasty). The TV had only five channels working with poor aerial reception. The dining room food (evening dinner and breakfast) was average.",3
"I can assure you guys 100% this hotel is a con, they are just using there old history to display that they are 5 star. There rooms. Services. Facilities food is of max 3 star, I have been to uncountable 5 star hotels and this is not a 5 star. The person working there also admitted this and dose not want his name to be mentioned. He also said that with corruption and bride anything is possible.   Please do not go here it’s a 3 star hotel and not a 5 star one",1
"We arrived from Meknes, my son booked him, the location and the exterior called for me to stop looking for someone else, I missed my son and after a few minutes I saw him with someone who introduced me to him (Noureddine) and that he saw him as a suitable room, we booked him for 3 nights, the view was partly on the sea and on A crossroads and a city train, the furniture is old and worn out, and the worst is a bad smell coming from the bathroom that we didn't know where it came from, the breakfast was good, the cleaning women were friendly, the type of hotel that can't be remembered!",4
Great location. Our room was clean and the bed comfortable.  The staff was helpful and friendly.   My only complaint is that there were no soda or snack machines — the small gift shop did not have sodas or water.,5
The rooms smell musty and are dirty. The beds are horrible and the service is worse.  I can not with a good conscience recommend this hotel to anyone.  They claim to be a five star hotel but there is nothing five star about this place. ,1
"the worst hotel i have been in Morocco, the rooms have a bad smell, the furnishings are ugly and old. the restaurant room is really ugly and little, the best thing were the wine bar and  the singer's show :)",3
This is an older property but the location is good. Across from the Medina. The restaurant is over priced and variety on the breakfast buffet is okay and not what I am used to. For the money it’s okay. The Italian restaurant is a better deal got 2 pizzas ( made fresh and tasty ) for 160 Dhm’s. Night view of hotel from our window. The wall is the Medina wall.,3
Hotel was attractive looking and rooms were nicely decorated and a decent size but musty smell made this hotel less than desirable. Location was excellent with easy walk to medina and riverfront. Food was blah and way over priced.,3
"This was my first stop in Morocco. I think all the people on my tour that were meeting at the Casablanca airport, were very happy to arrive here after about 1 1/4 hour drive. The staff was very efficient and welcoming. The lobby area near the restaurant and bar was comfortable and inviting. My room was clean and fine, but rather dark. It was easy to walk to restaurants nearby. The only bad thing about this hotel was the breakfast. As westerners, we all thought it was lacking. ",4
"Room had  musky scent. A/C controls did not operate. Breakfast was poor and under catered for the number of guests. At dinner I asked for a red wine & a beer from a male waiter who seemed to resent my asking as if it was beneath him. I waited so long that I asked again,this time to a female waiter who took no time to respond. After the meal the male waiter asked for payment and I paid him with notes which he put in his pocket, which I thought odd as no receipt was offered. I chatted to other travellers then proceeded to my room only to be pursued by the female waiter for payment of drinks.I pointed to the other waiter & explained he put my payment in his pocket. I reported this incident to the desk the following morning.",4
"The hotel requires some serious TLC, very outdated. Upon our arrival our room had no power and it took 3 visits to reception to get someone to come and take a look, it turn out the cleaner had tripped the fuse box, clearly the do not have follow up supervisor. The bathroom smelt of mould and their was a dirty smelly toilet brush propped up in the corner by the toilet. The food was mediocre and fairly bland. the biggest complaint would be about the staff, the restaurant manager was surly and unhelpful and the girls waiting on tables behaved as if they were doing us a favour and any request we made was an inconvenience to them. I would not recommend this hotel. Right by a busy roundabout and the traffic is continuous.",2
"This hotel requires major updates. Not sure how it qualifies as 5 stars - no iron, not working safe, very old furniture and molded ceiling in the bathroom.  Pretty nice lobby sitting area and location overall.",3
"Pleasantly located in a high hill area overlooking the beaches, if you get a room facing the sea then it will be a nice room so make sure to book right. The Medina is very close by is great for a day. Rooms are ok but the gym is the worst i have ever seen so far, trully, nothing works! 2 trademills, 2 bikes, no weights, horrible for a work out! regardless a nice little pool on the top floor with few tables around. Location is good. Staff is trying hard but still under level.",3
"This hotel is located 20 min from the airport. It has excellent location, walking distance to main attractions. Shops, restaurants, coffee shops, supermarket...everything is walking distance. Hotel is quite old, nothing special. Rooms are comfortable and clean, old furniture. I got a suite room, with huge living room which I did not use at all. Bathroom is large, with basic amenities. Breakfast is average, basic hot meals and lots of pastry and bread. Coffee could improve. Lovely view from the room if you are facing the front of the hotel but might be noisy due to traffic. Overall, good hotel for tourist if you wanna walk around Rabat and enjoy it. Money exchange just behind the hotel if you don't want to use the hotel one ",4
"The view from the terrace was the feature I like the must because I only spent one night, but it was good enough for appreciate certain things. The lobby is enticing, they have a saloon where you can relax, they have alive music at night which is very nice of them. The room I find it small but you can rest in silence. Nevertheless the terrace I found it astounding because you can take a look at the bright of thousands beaming lights around the city including the monastery. There's is like a park across the hotel where you can spent a pleasure time just by walking and watch the people gathered and sharing in family in the tranquillity of a safe city, at least that part of the city (I think the whole country is safe).",3
"We were part of a tour group starting at this hotel. The front desk staff were not at all friendly, welcoming or courteous. When we approached them with a question they would pass you off to another staff member and they wouldn't help you either. The upside of the hotel was the room attendant. She was the kindest and most helpful. The room itself was okay but carpeting seemed damp and musty. The location is central to everything and that's a plus. The tram station is right outside the front door and is easily accessible. ",2
The location is good close to all activities. Staff are good. Hotel needs full maintenance. For example I had to go three times to reception to change room key and didn’t work. You can feel smell all over and spots on pillows and bed covers. I think the hotel rate shouldn’t be more than three stars.,2
We are here as part of a group tour and so far have not had the best experience. After 16 plus hours of travel you’d expect a better welcome. No one at check in counter explained how long it would be until we get a room and what to do in the interim. We were directed to an atrium/lounge area which reeks of smoke. Definitely don’t recommend.,1
"the reviews i had read about this hotel before i went to Rabat have changed. the hotel is super clean, beds are comfortable, staff are super friendly and helpful, buffet is varied and food is delicious, location in a very nice area, only 5 minutes walking to old Medina souks, Hassan Tour and many other touristic spots. it has a lovely lobby with a nice ambiance. it has a shop where you can find many things, daily needs and souvenirs  the hotel is quiet and the views from the top are amazing. i highly recommend it and i would only suggest that they think about renewing some bed frames soon",5
