review,rating
Very nice rooms in front of the beach. hotel is managed by local company and have a human dimension of service. people very friendly. Brakfast is interesting: Jazzbar and brasserie restaurant too. Thanks to management and employees,5
"Beautiful, clean hotel, very modern and fairly new with views to die for if you’re willing to pay extra for unobtrusive view, I had a part view but it was okay no complaints, they say you get what you pay for, But yes things definitely need to improve, main restaurant and only restaurant this time of the year, les Quatres Saisons not a lot of choices for your breakfast no yogurt and limited juices containers almost empty all of the time cold meat were dry and not at all very appetising.Jazz bar staff not willing to serve you what you ask for such as Bombay gin , large beer because they have run out and have to go somewhere else to bring it for you five star service I don’t think so, also be careful as it’s about £1 .60 more expensive for each drink, if you buy it in the lobby and take it with you you will save ,just have to get it yourself . They say they have a shuttle service which is almost never available, we managed to get him twice while we were there and on our 2nd trip he asked us for100 dh when it’s supposed to be free that’s just under £10 we said we only had card and would pay at reception. Reception if you need anything don’t ask at night nothing can be done till the next day 😳 Room was lovely and clean comfy bed and very good house maids, television is small with very very limited channels No football ( only in the bar) The hotel has very little (almost none) entertainment no show’s no kind of Moroccan restaurant , menu is very limited understandable this time of the year, with only a hand full of people but prices are the same so I think my 3 star rating is very fair because it not the building that gives you a fantastic 5 star hotel it comes in a package everything together…",3
I asked a lady at reception to use the pool for the day as a guest and I was declined. The reason for this wasn’t given and I was spoken to rudely and told to leave. You have lost a paying customer who will be telling friends that your hotel staff at reception are rude. I am Moroccan from England. I will never be coming here again. Me and my family have been coming to Farah for years and will not be going again!,1
I have visited the hotel many times in the past few years and have paid to use their swimming pool for the day with my family and friends. I arrived on my own on this occasion and the lady at reception was so rude. The lack of customer service was shocking! I was advised that I could not use the facilities because I am not a guest at the hotel and she then told me I needed to exit the hotel when I asked her when the rules has changed. The manner and attitude of the lady at reception was disgusting. To treat a customer with such lack of respect that you would ask them to leave the hotel? I’d love for someone to explain why this was necessary??  I will never be returning to your hotel and you will never receive my custom or that of my family and friends again.,1
"Okay let's just make it clear that this is NOT a 5 star hotel by any way, shape or form. I don't know how  they were granted the 5 stars, but whoever did that should be sacked for their great lack of judgement.  The hotel is located quite far from town centre and you will need a car to commute to it from most the lively places of Tangiers. It has a great view on the beach from the balconies. The lobby area is lovely and the furniture looked well maintained throughout our stay.  We booked our stay a month ahead using their own website and received the email confirmation. All good? I rang them 3 days later enquiring about something. They took the booking number and confirmed my booking and answered my query efficiently. All good? 2 days before our arrival I rang them to ask if it's possible to do an early check in at 12pm instead of 3pm, just to be told that they have no booking for us at all, we don't exist on their system and that we need to book again through the phone if we still want a room in their hotel. They insisted that there is nothing they can do despite me having an email confirmation with our selected room. They wanted to charge £150 difference more for the duration of our stay than we had in the initial booking. The lady who I had on the phone was really ill-mannered with no customer service skills at all. I asked to speak to someone else which she refused but then she agreed at the end to remove the additional charge and sent a booking confirmation 3 hours later.  Upon arrival at the hotel, we found a full-blown argument between the hotel receptionists and some customers! Definitely not a good start nor a good sign. We showed them the booking email along with our passports and then we were told to sit in the lobby whilst they're preparing the room. The manager promised it'll take half an hour but as we were hungry we left our suitcases and then left the hotel to go and have lunch in a restaurant. We returned 90 minutes later and guess what? The room wasn't ready yet! We had to wait an additional half an hour before going to our room.  We chose a deluxe double room and that's what we got. The room was clean but we expected a lot more from a so called 5 star hotel! Firstly, there was a musty smell at the bed's headboard which is a common problem in some hotels in coastal cities, however I believe that their hygiene standards should be raised to ensure that humidity doesn't build up on the fabric and upholstery. So beware especially if you're allergic.  Secondly, having had a long day, we needed to have a shower as soon as we entered the room. There were two basins in the bathroom but only one had a working tap! The shower head was faulty with a lot of limescale buildup and as I turned it on, the water pressure pushed the head to flip all the way up and resulted in terribly splashed bathroom. Meaning we could only shower whilst holding the shower head using one hand! To top it up, there was no water to have a morning shower on our last day and we had to wait for the problem to be sorted for nearly an hour.  The breakfast was good. The staff at the breakfast buffet are all smiling and helpful. But there wasn't much variety in the buffet, and frankly, I've been to 4 stars hotels in Tangiers in the past who served a much better breakfast.  Wifi was another problem. There was literally zero wifi in the room. Unless we go the balcony, there is no signal in the room. When I reported it to the reception, I was told that I should use my own data and not rely on the hotel's wifi. How nice!  All in all, I wouldn't set foot there again. It is NOT a 5 stars hotel. And as I mentioned earlier, I've been to other 4 star hotels in Tangiers' city centre which exceeded Farah Hotel by miles in all categories.…",2
"I had very bad experience in the breakfast specialty with ABDELHAMID , he is having very bad attitude and zero customer service and he is not respecting customers.  Its very bad when u start ur day with such people.",3
I stayed there on the weekend with my family of three. My kids absolutely loved the pool and the staff there were all smiles.  The room I stayed at was very spacious and the sea view that we woke up to was breathtaking. The breakfast was a buffet and it was very filling.  I had a great stay at Farah Tanger and I highly recommend it to anyone who are looking for a relaxing getaway.,5
"I have chosen this hotel for Spa treatment, based on its 5 star category. I didn’t fined any phots for the spa, but I thought It should be ok with the five stars. I booked over phone hammam and massage package for 600 drs, for one hr and a half. Since the first moment I was chocked with the locker rooms that was shabby, but the worst thing that its door was facing the male changing room door, and  lacking privacy in a terrible way. When they open the door I was half naked exposed to the corridor. Then I had to go with the robe in a common area with males passing around in their robes, that I couldn’t do as I wear Hijab obviously. So I put my clothes on, then the robe over. This lacking of privacy would be a concern for any lady that doesn’t want to be exposed naked While changing. Then I moved to the steam area that was below average, and definitely not a steam room in spa experience, particularly in 5 stars hotel. It was like a big bathroom, with brown ceramic all over and a cheap steal shower, hose and the steam was going out of a rusty metal pipe in the ceiling. The girl who did the hammam was nice and gentle but compared to other moroccan hammam, it was lacking care. She pointed to a family size plastic shampoo bottle, and asked me to wash my hair.( nothing herbal or organic, just a shampoo like the one you get from the supermarket). In my previous experiences in other places,  I enjoyed very relaxing moment for hair washing with head massage with good smell traditional products, and no body ever asked me to wash my hair my self. As it was very hot, I asked for a bottle of water my self and wasn’t offered one. I was taken to a room to relax after the hammam. That room has 3 dirty looking lazy chairs with scaly paint and covered with ugly blue towels. Over a side table, there were 3 left over water bottles there, but no new one for me, or a glass of tea or a glass of juice that I used to got in every place I had hammam in, as part of the traditional moroccan ritual. Then in 3 minutes, I was asked to move to the massage room, passing through the same common corridor with my robe, but they assured me that no one was there. In massage room that was a room for waxing, facial as well and other uses as I could see other  devices, The girl asked me to take off my robe, and I asked her for a towel to cover my body as I was wet, and it was a bit cold. It is a common sense to offer a towel to cover some parts of your body, while massaging other areas! But I kept asking again for things that I usually have. I told the girl to focus on my legs, then I heard an answer I couldn’t tolerate. She said that my package includes - as no one has informed me earlier-a light massage with no pressure so it is not allowed to press any where. I need to pay more, to get some pressure on my tired legs! I felt so bad. I wasn’t asking for any deep massage or special treatment! I refused the massage as I felt that I am abused. In the reception, they weren’t sure about my package.. they looked to the brochure and  they said I booked royal hammam, that includes light massage only. It was a joke!! Royal hammam with a single mud mask that was applied for 2 minutes and no drink to avoid dehydration( they said I should pay for a drink if I want after hammam). Royal hammam is the biggest joke after 5 stars Spa! This was really a trap, dirty spa! Filthy place, staff that lack the talent and accommodate clients need. If the hotel has the same managing mentality, what a shame. I don’t care how the management may response to this post, denying what has happened. I know how bad it was, they all know, and should feel bad. Unfortunately I was so tired and upset, and wet ( no hair dryer around) to take any photo to show the place. Stay away from this trap dirty, “the so called 5 stars spa”!…",1
Very good and clean hotel good food swimmingpools and nice staff near the beach with beautiful vieuws centre is not far and the boulevard is not far cabs are everywhere and kadisky restaurant and robertos are very nuce too for some food,5
"The view from room was nice. The room was comfortable, clean , large size, and has balcony. The staff was polite and helpful. Mr. Anas at reception was nice. He arranged a free ride to train station at check out time. The breakfast was good and staff there were helpful and smiling.  The hotel is far from city center and no direct access to the beach.",4
"I attended a conference in Tangier and stayed at the Hotel Farah. The whole hotel feels like a giant Moroccan palace, with small houses and several pools. The food was amazing and the facilities in excellent shape.",5
Thoroughly enjoyed my stay for a conference. Great views from the hotel and friendly staff. can walk around the coast and easy access to market and other areas. Good vegetarian food a challenge as they may not be used to many guests who are vegetarians.,4
"I was in the hotel for cyfy conference and inside the main hall , during lunch period after everyone left someone stole my item. When mentioning the situation to any of the workers or acting managers, they all seem ignorant and act as if it's normal. Very disappointing and unbelievable. Will never recommend visiting the hotel let alone staying in it.",1
"We stayed at the Farah Tanger for one night and were rather disappointed. Although the view is beautiful and the food was good, the rooms are in a bad condition and the staff was unhelpful.  As to the rooms: Broken mirror, closet that didn‘t close, mold in the bathroom, stains all over the carpet and the lock of our room did come lose so that it was more than questionable whether we‘d get out of the room again... As to the staff: we didn‘t have glasses for drinks in our rolm and asked the chambermaid both in french and english - she just shrugged and that was it. No glasses. Bad service! We won‘t come back, sorry. ",3
Nice stay with Nice bien at very clean and welcome hotel isolated from the city without being too far from city center Great breakfast as well with lot of choices of foods and juices Visited couple of times with both business and family trips and really satisfied,5
"Initial experience of check in was poor! The guy on reception who checked myself and my husband in, did not even make any conversation at all with us, he was ignorant and more concerned on the filling out of the usual forms. Every two seconds lifting his head scanning who was entering the front door on hotel, not once did he say, welcome or Enjoy your stay or breakfast is served here at this time or even how are you, never gave us WIFI password, No customer ‭service skills at all! Really unacceptable welcoming for this hotel! Room was nice, clean and spacious. Telephone in room wasn’t working, sofa bed also did not work and tiles in shower where a bit dirty with black mould spots on shower head and the tiles! The view was fabulous, the breakfast was good, plenty of choice. All…",3
"The hotel shows age and it is not being kept up well. The lobby shows age, the rooms show age the pool shows age. So we checked in thinking we were gonna have a good stay. We get the keys and head to our room. Besides the fact that it's probably one of the oldest rooms there its surroundings are dirty tea cups from old guest out in the hallways, ants, pieces of old bread, old trays. Went up to ask to be moved the girl said she had nothing available and said I had to wait until I mentioned getting an upgrade she then focused more on me. Once she realized the suite wasnt available she said I had to wait an hour that she would call me. So I waited, hour later came back up nothing she said I had to wait again I even left my phone number. Went to eat,came back went straight to the…",3
