review,rating
"We spent a very delightful stay in this hotel.  The trip over on the bullet train from Rabat was easy.  Once in Tangier, the people and culture were fascinating experiences.  This hotel has amazing spacious rooms and the views are breathtaking. You can hear the ocean at night and walking around the narrow corridors of the city discovering all the little shops and restaurants are an absolute must!",5
"A pigsty in every term! Absolutely avoid this place.  Holes in the pool everywhere, food very scarce and generally very un-hygienic.   Photos are all a farce, don't know how Tripadvisor has not red flagged this so-called Hotel!!! A disgrace to a lovely country like Morocco.",1
You are paying for the view only The hotel not Worth  the price not worth five stars furniture very old no coffee maker  in the room no water TV is not working carpet very old and smells very disappointed we will never come back include his pictures of the carpet dirt and also the cracks on the tub,1
"The hotel is absolutely beautiful. Perfect location, great amenities, and fantastic service.   Yassin from the concierge/reception made our stay phenomenal and memorable - Thank you. We will never forget you ⭐️⭐️⭐️⭐️⭐️  I can highly recommend to stay at this hotel.",5
"Not the best stay, Water was brown , cleaning wasn’t up to standard ! No amenities in room . Drilling early in the morning From outside ! A manager Hicham was very bad .  No understanding no care in the world. This guy is a bad Manager he should be helping the people! Not going back ",1
"Excellent service! By far one of the best hotels I have ever stayed. Such great value for money, although it is a bit far from the Médina it’s a short and cheap taxi ride to all the best places in Tangier. It’s situated in a very quiet and safe spot. The staff go above and beyond for all guests and are always willing to help out. Thank you guys so much for a very enjoyable stay",5
"Very helpful and friendly staff, beautiful suite with great sea view, breakfast has more than you could ever need, all of this at a very affordable rate.  Any minor issues were dealt with immediately and in a very professional manner.  You can walk into the city along the beach but it is also convenient for parking your car if you have one.  I travel a lot.  This hotel easily compares to any upmarket hotel you could be staying at in Europe but would pay a lot more money for.  I have stayed at other hotels of this level and prefer this one.  I will certainly be back.",5
"Last night was a nightmare !  Wind sounds , chairs moving in the balcony , the air flow moves the curtains..  the windows has no thermal  or sonor isolation ! We couldn't sleep the whole night !  I woke up with fever and flu ..  Besides, we had to call the reception to fix the bathroom twice ..   I will never come back here again !",1
Although the location is not handy for the old town and despite the fact that housekeeping was a little tardy here I found the staff friendly and the food very good. Excellent standard Moroccan cuisine for evenings or breakfasts was a pleasant surprise. Good facilities in a large hotel complex.,4
"The majority of staff were very helpful and explained to us certain customs of Tangiers, like not being able to kiss in Public. The Breakfasts were very good, but Ive been in many other 5 star hotels and the breakfasts in the past have been plentiful and obviously don't expect a full English breakfast in this hotel especially. Kamal was very helpful and spoke very good English at breakfast times. The rooms are more like 3 star quality and ours was definitely not 5 star quality. The carpets were very worn, but cleaned daily due to the sand from our footwear. You could feel that tis building and its interior contents needed to be updated, especially the room furniture etc. There were no Mini Bar contents in the fridge etc and no Tea or coffee making facilities. To use the indoor Pool and other facilities were chargeable and we didn't bother paying. There was also two female staff that had very bad attitudes and unable to speak English in the indoor pool area/reception. They put me off from visiting that hotel ever again. The most frustrating part was the majority of the staff not being able to speak English. French and Arabic are the most commonly used languages in Tangiers. …",3
"This was a very comfortable hotel and the sea view is gorgeous. Lovely breakfast in a beautiful room. Nice pool and beach access right there. But the carpet makes the place look outdated and the carpet was very dirty in our room. Giant bathroom but the water wasn’t really hot and because the tub is very big it is hard to get in and out of the shower. There is ample parking and it’s easy to get a taxi as well. Overall, we had a nice stay.",4
"We had a corner suite with great view, but Rooms outdated and filthy. Toilets and showers didnt work. Water pipe broke flooding room staff didnt even clean it up. Service was extremely slow. Drinks at pool took over 90 minutes and ice 45 minutes. Breakfast very average. No alcohol served in the hotel.",2
"I cannot say enough good things about the staff at this hotel. They are kind, courteous and bend over backwards to make sure that the guests comfortable and happy. We had quite a few things go wrong during our trip but they were so accommodating and helpful that it really didn't matter.",5
"Exceptionally helpful and kind staff. They assisted us with finding a taxi, set up a tour for Chefchaouen, and wonderful service at breakfast. The bedroom was spacious and clean. The ONLY reason why it wouldn’t be five stars for me is the location. It was a long walk to the center and it was difficult to get a taxi there. However that wasn’t the hotel’s fault! I just would have enjoyed a more convenient location. I would recommend the hotel if you don’t mind it isn’t in the center of everything. Beautiful views. ",4
The hotel was nice and clean. We had a sea-view room and it was large! The staff was kind and helpful. The hotel arranged a shuttle service that picked us up from the airport and brought us to the hotel.,5
"The lobby was fantastic, but, the hotel is a little older/dated...  I did not have a fireplace in my room, and the towels are not the best; but, the staff was absolutely awesome!  We had a room that faced the Mediterranean Sea!!  How beautiful the view was!!!  The young lady at the front desk, Ms. Hajar Anzaoui, was spectacular!  Also, the gentlemen who waited on us in the restaurant, Fattin Mohomed and Kamal Ragoui, were phenomenal.  The young man, who I thought NEVER went home - because he was there in the mornings and afternoons/evenings, was the best doorman ever - Mohamed Ould Hamra!  Bravo to you all!  You guys made our trip/hotel stay better!!  Berlinda Williams-Strong",4
"I invited a business partner who wanted to stay in alcohol free hotel. The breakfast was disappointing, the gym most of the equipment are old and broken. Cleaning was below average. Not welcoming atmosphere, beds are not comfortable, towels are old. This should be 3 stars. ",1
"This hotel is just awesome. The rooms are nice, well decorated, view on both side is good ( one on the sea, the other on the mountains). I really loved how the staff talks politely and room service is always available. They have good quality food and a nice pool.  Loved the place!",5
"Grand lobby which is beautifully decorated. We had a nice large room with a balcony and a great view of the ocean. Beds are much too soft which required sleeping on the floor. Meals were so so. It's a long taxi ride into Tanger & the main activities thus  the hotel is expensive & inconvenient. Staff is very very friendly & helpful in cleaning the rooms, at breakfast & hailing a taxi.",3
"Looks like fairly new hotel. Room was very big with separate sitting room and bedroom. Clean. Good views of the ocean.  We wanted some hot water/kettle and told the reception when we checked in. We waited 1 hr but no kettle/hot water and realised there was no phone to call room service. My husband had to walk down n asked for the kettle/hot water. An hour later, still nothing. We went out for dinner n on the way out, told reception (we still had no room phone), told him that we'll collect the hot water/kettle on the way back to our room.  When we came back, reception guy said will bring the hot water up but after another hour, nothing, so we gave up. Breakfast the next say was ample, lots of choices. But a mere hot water/kettle was unattainable on 3 occasions. ",3
"First day electricity fall.. had to call twice for them to fix day. Second day realized the door not getting locked, 3 times had to ask it to be fixed, had to go 3 times for them to synchronize the keys, then found out the door can only get open from inside..  the hotel is not functioned",2
"Having spent the last 36 hours at the beautiful Grand Mogador Hotel, in Tangier we have only praise and thanks for this Hotel. From the moment we arrived we were greeted with a warm smile, given complimentary Mint Tea, and shown to our huge room and huge bed. The Staff are friendly and most helpful, and the food is also very good. Kamal the friendly waiter makes the best Berber Mojitos and was never far when we needed something. Best things: massive bed, friendly staff, excellent pool beside beach.  Cannot recommend this enough! ",5
"I am having the most amazing time of my life at the Mogodor. I don't think there are friendlier people than the ones working here. We are being treated like Royalty. We are so pampered we don't want to go back to Canada. I have used lots of hotels services through out my life and usually I don't leave any reviews because I don't like to talk bad about anyone or any place. I am so happy I wanted to express my gratitude to everyone in the hotel hoping they will read my review.  I have a special thank you to Kamal from the coffee shop for his amazing cappuccino and service. Fatiha at the Spa, Lamyia at the breakfast restaurant. Hajar at the reception. You are all AMAZING!!!. I really feel bad that I don't know all the names but I hope my endless thanks and regards will reach all of…",5
"Stunning ocean views, the sunsets are superb to see.  The rooms are certainly spacious but apart from that.....they are very tired.  Desperately in need of a good clean and revamp, even the corridors are soleless.  Do be aware that though the website says this hotel has a ‘bar’.....the ENTIRE hotel is alcohol free.",3
"Before I booked a room at this hotel, I searched for a hotel with standards that suits me, and I did not find the best of this hotel, especially the wonderful location and  the services available in it, such as a swimming pool and a spa. Most of all, that beautiful treatment at reception, especially Mrs. Hajer, where she did an upgrade the room to a nice suite, and Mrs. Shaimaa who gave me the morrocan tea as a wellcome drink and escorted me to find out about the hotel's facilities. They are really classy, respectful and very nice. I recomment this hotel and I'll never book next time in another hotel.  Thank you so much",5
"We arrived yesterday , found the staff very helpful and a nice hotel to stay at. Very Morocco, our room was not ready so they provided a free upgrade to a great room ! The breakfast was very good and once again staff very helpful and friendly. There was no alcohol served but not a major problem as casino and local restaurant very near. Pool area good ! So all in all good stay , different culture.",4
"This is a passable 3 star hotel, but a deplorable 5 star hotel.  The hotel. Pretty but a little shabby. The room was spacious, clean and comfortable, although the couple we were travelled with had a much smaller room. The bath in our companions’ room had heavily chipped enamel, and there was an electric socket above the sink(!) in our room which was hanging off the wall(!!). The breakfast is served on a mezzanine floor which is only accessed by a spiral staircase so if you have mobility issues you need to expect to pay for breakfast in your room everyday. The sea view was excellent and the sound of the waves comforting, but with little soundproofing the noise of dodgy plumbing and the call to prayer was annoying. This is a dry hotel so the range of ‘cocktails’ is actually what…",2
