review,rating
"My second stay at the Marriott Rabat and I have to say that EVERYONE breathes hospitality in this property.  Incredible staff from the moment you step a foot till the moment of check out. Nabil, the rooms director alongside with Khadija, the front office manager, and Abdelhaq, the night manager, and the F&B director, mostapha,  are all hands on and keep a close eye on their guests to make sure that the stay is nothing but EXCELLENT.  As a titanium member that spends around 90 nights a year in Marriott brands, I have to say that these guys strive to make sure that your stay is as satisfying as a Ritz Carlton or St Regis. A huge thank you to the Marriott agdal staff( Amira, Ismael, Malak, Med Amine) for their genuine service. Keep up the Excellent work, you are all amazing at what you do 🫶🏼🫶🏼…",5
"The new Marriott in downtown Rabat is a delight. Opened for only 3 months or so, it’s an amazingly comfortable oasis in the middle of the city.  The hotel amenities and attention to detail are exactly what one would expect from a Marriott five star. From the breakfast to the gym/spa, all 5 star quality and service.  A special shout out to Mr. Amin from Meknes. Mr. Amin exemplified the Marriot five star standard, going out of his way to give us extremely good recommendations for our short stay in Rabat. We just wish we had had more time to enjoy the lobby, which is so inviting; we could easily have spent an afternoon ensconced reading and writing.  Really, a gem of a five star.",5
Great 3 day visit at the Marriott.  Looks very impressive on the inside.  Great selection of restaurants.  With a great breakfast.  Champions bar was a let down as it was so Smokey in there.  Spacious rooms with good amenities.  Just need to sort out the pick up and drop off area.  Was always crazy in the mornings and evenings.  Not very well thought out in its design.,5
"It was a quick business trip but very nice hotel. Will explore more next time. Food was good. One comment, could have been warmer when it got to my room.  Rooms are spacious,  very clean and the staff obviously well trained. 5 stars overall. I'll be back.",5
"The service at this hotel was unbelievably good, as was its cleanliness, wellness facilities, pool and multiple restaurants.  We were there for a conference and were very well supported by remarkable staff. Special recognition to Front Office manager Khadjia Nadzi - both charming and very capable.",5
"Our family of 3 adults and one teen had the pleasure of spending a night at Rabat Marriott on our arrival in Morocco for a 10-day tour - this hotel stay made for a terrific start to the trip!  The hotel is brand new, having opened only a few months ago.  That said, it is the incredible service throughout that really shines, in particular the warm welcome we received from Nabil.  We also used the spa for a traditional hamam, which ended up being the best one of our entire trip.  Our only regret is that we were only there for one night!",5
"I had an excellent experience at the Mariott in Rabat. The staff were very professional and accommodating. Nabil, the director helped me book my last minute reservation, and had the pleasure of meeting him in person as well. He went above and beyond to accommodate me and made sure I had an enjoyable stay. The hotel is ideally located in the center of Rabat and within walking distance to shops and restaurants. The outdoor pool, the rooms and the spa are all breathtaking. The hotel is fairly new and I was astonished at the very small details throughout the property. I highly recommend this place. I will most definitely stay here again next time I come back to Morocco.",5
"We have been to Morocco several times, me and my wife and to be honest this is the first time we felt the Moroccan hospitality deeper; the hotel is stunning with all its facilities and services, the breakfast was nice, the swimming pool also was beautiful with the restaurant ikatza we really loved the food there. We would like to thank and appreciate the lady from the reception Ms Samia took really good care of us, she is an incredible host full of energy and kindness, she gave us a list of places to visit in Rabat and also where to eat nice Moroccan dishes that we really loved, whenever we leave the hotel for a visit or when we comeback she is there to greet us and makes us feel home. Thank you so much for your hospitality and we are telling our friends and family about your hotel and specially your people. We are coming back.…",5
"Wow! Gorgeous hotel but the staff make this an outstanding hotel. Excellent service! The front desk staff are fantastic.  The Spa is a must! Chaimae at reception was extremely helpful, and Sophia is an OUTSTANDING massage therapist. Try the hammam experience!",5
Stayed for one night in this luxurious hotel. The service was excellent !!  Spacious trendy room. Elegant restaurant and  relaxing pool. Executive lounge with great selection. Great location as well.  Thanks to the great hotel staff. Will come back again!,5
