review,rating
I highly recommend it as all the staff are friendly and helpful. The room was clean and have a good view on a huge garden. Basic breakfast but delicious. The hotel is near the tramway station and the old market.,5
"The room was clean and spacious and the staff friendly. The hotel is central, it is a 5 minute walk to the Medina. There is a little supermarket next-door, ATM's in the next road and a variety of restaurants.  Although the hotel offers a to purchase coffee service for after hours, there is a lovely coffee shop 3 doors down and they make lovely crepes.",4
"The hotel is located on the nice place near of the the downtown but the room is too small and also the tv , the remote controle doesn't work , the service is too bad , the wifi is too slow , the smells is not good then we changed the room the same things",1
The hotel was very nice and in a good location. A disadvantage of being in the city centre is the high noise level. The staff at the hotel were great and honest. The only hotel in Morocco that told me about the city tax accurately. One bad thing in the room was the bed; it made noise with every little movement.,5
"We stayed here for 1 night as part of our tour. We thought the hotel was very nice, it is a newer and the room was very clean and comfortable. We stayed in Room 707 and had a nice view overlooking the streets below us.    It was great to hear the Call to Prayer from the window as the mosque is quite close to the hotel. Bathroom and bed were of satisfactory standard and very clean.    The shower was nice and hot and had good pressure. The hotel is located in a very nice position, close to many shops, coffee places and restaurants.    We had breakfast included in our stay and was nice and had a good variety of choice. The coffee was nice and hot. The breakfast is good and clean looking out on the street.  The WIFI had good reception and the Air Con was good. Would recommend staying here if visiting Rabat.…",5
Great location only a 5/10minute walk from train station. Staff were friendly. We had a great house keeper! Room were small but good :) They held onto our luggage when we went to the near by post office the day we checked out. The front desk receptionist even found us a box!  We didnt care for the breakfast but there was a huge selection. We found a restaurant down the street that sold breakfast. There is also great cafe called art cafe near by with great food. Prefect for dinner when you want to be close to the hotel  I would recommend this hotel to everyone ,5
" Booked just for 1 night for a family of 4. Check in was straight forward and efficient and the receptionist was very helpful when I asked about local places of interest. The room was large with a modern decor. The bathroom was in excellent condition with a great shower. There was a massive king size bed, sofa bed which slept 2 and a single bed. All very comfortable. The location is great with the souk a 5 min walk and the train station also a 5 min walk in the other direction. There is a tram stop next to the cathedral a 10 min walk. Plenty of shops and cafes on your doorstep, a large park and a Mosque are immediately across the road.  Breakfast was 12 euros each, a bit expensive for a buffet but there are plenty of cafes in the area offering breakfast for 30dh per person.",5
"Clean, modern rooms and bathrooms centrally located. A short walking distance from Rabat Ville station and around the corner from the theater.  There’s the usually city noise, but the interior was quiet. Good WiFi. ",4
"Well located for a conference we were attending right across the street. Also convenient to the garden and Medina for shopping as well as great little restaurants. Staff is wonderful and tries to accommodate.  Rooms are spacious and have sound proof windows - never heard the traffic. You need to be prepared for: No heat in the rooms (we were here in November; quite uncomfortable) Breakfast is the only food from 7-11am.  No tea or snacks or anything during the day...not even water - but there is a bodega type shop open quite late next door. Refrigerator in the room; no hot pot for water. Internet is exceedingly slow.  So, you are in a beautiful city in Africa with wonderful people.  Do your homework and come with a little extra supplies.  Beware the taxis - they really don't always know the city even if you speak French.  Have the doorman instruct your driver until you know your way.  Go to Rabat - decide how much comfort you need.  We are two seniors - the cold at night was difficult, but the warmth of the staff went a long way to recovering.  ProfSusan, who travels a lot…",4
"We had 7 rooms.  Two of the women put their luggage in the room and went to dinner, but the electronic door was malfunctioning. They could not get in their room (after having spent the previous night on an airplane from the USA).  They had to go stay elsewhere without access to their belongings and retrieve them the next day.  The worst is this:  the hotel REFUSED TO REFUND THE COST OF THE ROOM.",1
"+ Clean + Helpful staff, and most of them spoke English. + Good wi-fi + Good location to the centre of town. + Room was cleaned daily.  - Breakfast was average. - No water or fridge in the room. - Single room was rather small. - If in a single room, the interconneting door to a double room was not soundproofed.",4
"Typical budget hotel. average room size for its category, but very clean. Included breakfast is basic.  Its 10 minute walk from the Train Station, close to the old Medina and many restaurants in walking distance. Staff is very helpful, and they allowed me to keep my luggage till evening after my checkout. They also arranged a taxi service for me to airport for a reasonable charge.",4
We are in a tropical tour. This has been the best hotel of the trip. Good clean decent sized rooms. Great breakfast and all within a walking distance to a fabulous restaurant.  Would definitely stay here again. ,4
"Great hotel - no problems whatsoever. Western style so nothing 'Moroccan' in particular, except the breakfast choices, which were ok, though a little simple considering the price. Felt safe and location is good.",4
"The hotel was clean and served well for a one night stop. The double bed was actually 2 single beds pushed together. Functional but you could really only sleep on the sides as the middle part was uncomfortable.  The buffet for dinner was very bland and staff offered no service. We found our own seats and found some basic food. There were no drinks offered, nor any indication we could  buy any. The terrace where it was proved to be nice location for local views with a nice sunset then sunrise the next morning. Breakfast was also bland, but much better than the evening buffet.  Our first time to Rabat and left the next morning so maybe the location is a selling point. There could be better options but was ok for a short stop. ",3
"It’s a good western stile hotel with basic comfort. We loved the shower with very hot water and there is hair dryer. A nice smell soap and shower jell.  The 1st night we were in second floor but when we came back we were on the floor and it is a bit noiser. The corner room in each floor is a family room with one big double bed, one double sofa bed and one single bed.  The breakfast seemed very nice in the first morning because we didn’t know what to expect but after one week when we returned to stay in our last night, we knew what was Moroccan breakfast and we didn’t like it very much although there was pretty much everything.  But you can have a very good breakfast with 35 dinars so why you should pay 75?  The hotel is on the other corner of a mosque so you have to be aware of…",4
"Stayed for 2 nights in this hotel. Strategic location, in the centre of the city. Walkable distance to train station and museum of art and cheap taxi fares to other places of interest. Very recommended.",5
"Very nice hotel feels very new and fresh with all modern facilities.  Great space, very good bathroom all you need for a traveler.  Check in very good and quick with friendly staff.  Only a few little things why I didn’t give 5 stars.  Wifi stopped working through the night, only 1 elevator working that can hold 3 or 4 people at most and some street noise.  Otherwise great hotel close to all the action and would star here again.",4
"Stayed for 5 nights in November and found most aspects of the hotel to be very good.  We paid a bit extra for a larger room (on the 7th floor from memory) and it's money well spent - lots of space, big comfortable bed with a spacious bathroom/shower area.  Liked the location overlooking Nouzhat Hassan Garden with easy walks to cafes/restaurants and most places of interest.  Staff on reception, housekeeping and door/parking were all friendly and helpful.  The problem area was at breakfast - lazy staff who would not replenish food or tidy up after guests had finished eating.  The other issue was the lift which at times, took an eternity to arrive.  On the morning we checked out, the lift was undergoing maintainence and couldn't be used at all but the staff kindly arranged for our…",4
