review,rating
"After last visiting the Riu Palace Agadir in 2017 and having lovely memories of the hotel, we decided to try it again. This time for 12 nights. What I remember most was how amazing the staff were. That was the biggest take away from our trip in 2017. This time we were coming with our 3 year old daughter and 3 month old baby so it was a very different holiday from our last!  Right off the bat - nothing has changed (which is such a nice thing!). All the public spaces were still sparking like new. The floors and walls gleamed, which was no surprise as everyone took so much pride in their work and the property.   There are a few reviews where people say they feel ignored at the bar. I don't really understand this as the hotel was really busy, if not full and I don't think I had to wait long for someone to offer a drink. You dont even need to go to the bar as if the waiters see you without a drink you will be offered one along with olives and nuts in minutes! The bar staff were amazing. Hats off to them! All the drinks were branded in the lobby bar and there was such a good selection.  The pool bars were just as great too with staff always smiling and helpful. They were so wonderful with my kids and would always make her a special cocktail!   Restaurants - again, flawless service. The staff from the waiters and waitresses to the people manning the live stations were awesome. You would go to take a lamb chop that had been sitting on the tray and before you could take it, it a freshly cooked chop would be put on your plate instead! It was really busy and yet the staff never seemed too busy to help or to have a chat with you to make you feel welcome. It was also the way they remembered what you liked, even though the hotel was busy the service felt so personal.   The Animation team - wow. Those guys spend the entire day on the feet and still somehow manage to put on a show every evening. My Daughter was in love with all of them and they made her feel so special where-ever they saw her! Even when we were saying goodbye they gave her a certificate for her dancing!   I think this is the standout thing about this hotel - they are able to adapt and deliver such an impressive service to both couples and families alike! My kids were so wonderfully welcome and when we came as a couple 5 years ago for a romantic holiday - thats the holiday we had. Its quite a rare thing for a hotel to be everything to everyone.   My wife loved the Spa and the Manager simply adored my daughter and even offered her free treatments which was so touching!    Room cleaning was flawless - would pop out, come back and like Ninja's they would have the room sparkling again!!   Usually, I would list some people who really stood out but if I did this my review would go on forever!! Everyone stood out in some way. From Security, Reception, Bars, Animation, Cleaning, Porters, Waiters, Waitresses, Chiefs, Cooks, Spa - we had such wonderful iterations with everyone. Even our Taxi driver kept saying 'its the best hotel in Agadir as we pulled up - and he was not wrong!'  The Management should feel exceptionally proud of this property. A hotel is only ever as good as its people - and the people here are truly the best!  My Daughter said it was the best holiday she has ever had and I'm so grateful to everyone at the Riu Palace for giving her such a beautiful memory!   We will be back but next time we certainly wont leave it 5 years!!!…",5
"Our trip to Agadir came about through a number of trips being cancelled due to COVID.  We have been to Rui hotels before and we weren’t disappointed by our visit to Tikida Palace.  When we arrived at around one in the morning, the hotel had left a restaurant open for us to get some food.  There were three of us in the entire restaurant and this was an amazing touch by the hotel team.  Yes there were some restrictions during our stay, but these were communicated well by the hotel team.  There was a good selection of food on the buffet every lunch and evening.  Moroccan dishes were always available as well as a huge range of meats, salads and amazing desserts.  The bar was well stocked with brand names and the pool bar provided a large range of cocktails expertly Mixed throughout the day.  The greatest asset of this hotel was the people who worked there.  Nothing was ever too much trouble and little things like remembering your drinks, table service and just generally having a chat with the guests made our stay very enjoyable.  The rooms were spacious and a mini bar of soft drinks was replenished each day.  The pool was good and the beach was literally a stones throw away.  I will be visiting other Rui hotels in the future as this has confirmed that you will always have an enjoyable holiday of you stay at their hotels …",5
"I first visited when the hotel first open so on my return visit my expectations were the same. My holiday was still good , food was excellent but the service was changeable.rooms were nice and cleaned well but often had to ask for milk and tea supplies. Hotel itself in need of repairs in some areas.",3
"The hotel itself is beautiful, the food is great, plentiful, tasty and a good standard, didn’t try the a la carte so can’t comment on them. The waitress we had at breakfast, lunch and dinner were all great (we were lucky to always have the same ones), my husband has a tomato allergy and they were always willing to help if needed. I do have to say there doesn’t seem to be any dress code in the restaurant. A big group of French came in their football kit one evening singing at the top of their voices, fortunately   The bar staff I have to say were awful, unless you were a regular or French. On occasion at the bar I had to ask 4 times to get the correct drink as the person serving me was to busy talking to people he already knew. On another occasion on of the bar staff walked passed us on pool side having just served someone else, I asked for a drink, he said yes and then walked off.  The bar outside upstairs was great, they remembered our drinks after dinner everyday, as they knew what we had. (Btw we were tippers so this wasn’t the reason for it).   The maids were fantastic, very friendly and the rooms were always spotless.   Overall a great hotel, for us personally it was the bar staff that let them down.   Be careful of local taxis always check how much it should be before getting in a taxi, we knew some people got heavily over charged ( reception will tell you how much)…",4
Great device for coach drop off to leaving hotel . Staff very helpful and entertainment team good round the pool .Food was never the same and good quality every day. The rooms were good quality and pool was great  Will visit again ,5
"Right on the beach, well located for shopping and if you want to visit coffee shops and restaurants outside hotel. Very friendly and helpful staff. Lovely pool area and spa. The lobby bars are very nice and one of them has entertainment",5
Visited for a week with my mum.  Had to move rooms on arrival (preference didn’t like ground floor) however the ground floor room was stifling hot and the air-con broken.  Second room was much better 3rd floor  Breakfast is very poor service - everyday sat a table that wasn’t cleaned properly had to ask for clean cutlery on multiple occasions.  Lunch in the snack bar was left overs from the previous day or hamburgers (daily) and evening meal was repetitive although somewhat better than breakfast. The best meal was one we had out that we paid for!  The 2 restaurants were nice however you do need to book in advance and there was no sign of the Italian open at all.  Pool bar drinks are not good.  Lobby bar drinks are good when you can get served. Waiters going to tables and others completely ignored.  Entertainment was non existent.  Spa treatments are nice  Room was always cleaned properly  Hotel is becoming dated with rips in the wall paper and broken furniture.  Far away from a 5* resort…,2
Good quality hotel from entry to the beach . Rooms spotless and spacious. Staff very helpful and all happy to help you. The food is spot on and you never get bored of it  The animation team work hard and really good with the quests The hotel location is perfect for all activities and the TUI rep is very helpful. Best hotel I have been in and great weather for November  Will return again  Only short flight from Manchester  Thanks to the RIU staff,5
"Wow!!!! The entertainment group ,ayoub,Aziz,moncf ,jannat,Hamza,amazing group together working as a team to entertain the guests.. We had an awesome time at Riu hotel.. Thank you guys. Reception staff was excellent too.. cleaning staff was friendly.",5
"This is by far one of the best resorts I have stayed in. Did not want to leave, along with all of the other people we met while we were there.  The animation/entertainment team are so fun and energetic, they really made it one to remember. They are so welcoming and make you feel comfortable and give you the confidence to get up and dance and have some fun throughout the day. Then at night they are the evening entertainment where they can really show of their talent. In particular, Aziz's breakdancing was mesmerising, never seen anything like it. He was also very welcoming and fun to be around. Hamza and Ismail are also great and kept us entertained when we didn't want to stop dancing. Along with the rest of the talented team who always had a smile on their faces and would come over for a chat and a laugh with us. My favourite show was the African themed night. The rest of the staff were amazing too, they all work so hard, all around the pool, in the restaurants, cleaning, reception. Everyone is so friendly and polite. The hotel itself is very beautiful and is situated on the walkway of the beach, which also has its own private area for the resort guests. We went on one of the Tui Atlas Mountain tours, which was so fun and interesting. We had breakfast and lunch in a house of one of the locals, visited Paradise Valley for a swim and visited the Sand Dunes along the coast. It was one of my favourite days and was so beautiful. It is such an amazing place to stay. I would go back tomorrow if I could!…",5
