review,rating
" great night. The hotel is nice , thank you All staff of the bar and reception specially mouhamed , delicious food , excellent service .The ambiance is very charming also staff is very professional ,I highly   recommend a visit..............",5
I stayed one night and wish I'd stayed longer.  The rooms were comfortable and the staff was amazing with pandemic protocol in place.  Staff wore masks everywhere and breakfast was made to order.  My omelette was cooked to absolute perfection and the pastries were delicious.  There was so much food that I asked if I could take it with me and they gave me a box with extra pastries!  The pool is beautiful and was heated.  I highly recommend and would definitely stay here again!,5
"If i want to talk about story so i need to tell a story, i will start from the location it based in alswisi which is in the most beautiful part of the rabat so quite and so clean, the rooms are very spacious well decorated with balcony, they have a very nice terrace and Restarunt the staff is so friendly, and for sure o will come back again and again.",5
"Excellent hotel in the embassy district about fifteen minutes drive from the center. The rooms, modern in style and very large, are spotless and upon arrival a welcome kit with sweets and local fruit is provided. The hotel is a jewel from an artistic point of view, with paintings and author's objects, a library, conference room, swimming pool, solarium, gym. The staff is very kind and very helpful to satisfy every request. Given the distance from the center, it is necessary to have a car available for travel.",5
"Everything was great during my stay at this hotel, professional staff specially the guest manager Rim. Cleanliness and food quality was also top notch, definitely recommend this as the best hotel in Rabat",5
I stayed at Story rabat for 2 days and 1 nights. The attenders were very keen to us. The food we had was really great. Whenever I visit rabat for vacation. I will definitely stay at Rabat hotels for sure.,5
"Perfect and luxurious ambiance, soothing to the eyes, which will surely make anyone feel relaxed. All staff are very accommodating and courteous, and would always make sure that all of the guests' needs are provided with high satisfaction. Foods are presented elegantly and of course, flavourful and delectable.   This place is highly recommended for anyone who will be visiting Morocco.",5
"I stayed 5 days and 4 nights at Villa Diyafa with my fiancé. It was just amazing, the food was great and not really expensive, the chef is great and present nice menus.  The rooms are really comfortable, and spacious. The  personnel is really gentle and at your every needs.  The director is also really engaged in the well being of his guests, we had a question, and we were able to walk in his office and he welcomed us and helped us immediately. The hotel is in the embassy neighborhood, which is really calm and beautiful.  I definitely recommend this hotel ! I already did it to all my colleagues !  Thanks again for this amazing stay and see you in 2020 :)",5
"I stayed in Villa Diyafa and I can clearly say that it was one of my best stays ever. The interior was beautiful, the service was outstanding and the food was delicious. The staffs were friendly and helpful but the butler Houssam was one of a kind. He made sure that our stay was smooth and brilliant, and went out of his way to assist us for everything which made us feel very welcomes and comfortable. He is an asset to the property and for that we are thankful for his services. ",5
"The hotel is nice but the service is the worst ever. Nobody from the staff is around, nobody at reception, no bell-boy, concierge or a manager! The food is terrible, breakfast is worst, room service takes hours to get to the room, etc. Never come back.",3
