review,rating
"Great hotel in the heart of Rabat! the rooms are clean, the hallways smell exceptionally good! every single employee is detail oriented and cared about us. If you want to feel ""ROYAL"" then The View Hotel is the place to be! We also tried the famous restaurant located in the 15th floor that is called The Legend; WooW! The view is exceptional, food quality is amazing and the service is smooth and friendly! THANK YOU! We will be back to try the coffee shop located on the 14th floor.",5
"I'm tempted to rate this hotel as ""poor"" but that probably wouldn't be fair.  The room is clean and comfortable although lighting is terrible.  I guess ""soft lighting"" is in fashion.  If you are a woman who puts on make-up in the bathroom, good luck to you!  You get a make-up mirror but not enough lighting to see what you are doing.  My biggest problem was that I left sunglasses in the room when I left for a weekend tour.  I realized it quickly after leaving but I knew I would be back in a couple of days so asked our driving to call the hotel and ask them to retrieve the glasses from the room and hold them at the Reception Desk.  When I returned a few days later, they had no idea what I was talking about. No one seemed to be able to track the glasses.  I called the front desk repeatedly.  Finally, at 11 pm, someone showed up at the door with sunglasses.  They weren't mine.  I was told it would be solved in the morning but I had an early departure.  They did notify me that they found the glasses after I left the country and when I tried to contact them to ask them to send them by courier at my expense I got no answer.  I have a colleague in Rabat.  I felt badly asking him to help me solve this but I did, and he will get my glasses back to me.  The hassle was so unnecessary but it was typical of the lack of service at the hotel throughout.  Check-in was slow.  You hand over your passport, sit in the lobby and just wait for your room key.  Hard to understand why you didn't just register and get your key.  Service in the bar on the 14th floor was slow.  Communication in English was near impossible.  Drinks were terrible and overpriced. Items on the menu didn't seem to be available but communication issues made the process confusing at best. …",4
Great hotel!  Great service.Rooms had wonderful amenities.  Gym is clean and well equipped.  Breakfast was great. Service perfect and friendly   Location was perfect.  Service wonderful. Great value. Would highly recommend it. ,5
Last night we went dinner for dinner at the hotel restaurant the Legend Club and we had the worst experience. The waiters were condescending and basic customer service was non existent. We had to wait 1h30 to get our food while the restaurant was almost empty. The food was mediocre and we were still charged for everything (even after we complained). I would not recommend this place. Very poor service and mediocre food.,1
"This was a business trip for my team and from check-in to check-out was seven days.  The hotel service experience here was outstanding!  From the greeting at the main entry, through check-in, multiple restaurant venues and the hotel amenities, the staff at each venue was gracious, knowledgeable, helpful, and made a genuine effort to meet our needs.  At The Legend Club on the 15th Floor, the venue was very clean and perfectly set-up.  Restaurant supervisor Amine, head waiter Ashraf, and waiter Yussef demonstrated what really great service should look like.  They recommended Moroccan dishes, explained how the chef would prepare them,  and were incredibly attentive.  Our water glasses were refilled regularly and each course was delivered with a flourish.  In the main lobby where we met each day, concierge Fatima greeted us and saw that we had coffee and water every time we sat down.  Our rooms were clean and the bathrooms were spotless!  The surrounding area has numerous shops, restaurants,and is quite safe by continental standards.  We can easily recommend this hotel for business or tourism.  An excellent choice and the price is very reasonable!…",5
"Used to go there before the pandemic and was waiting for it to reopen to go back again. Unfortunately we had the worst experience anyone can have. We were a group of 5 and were stopped by the valet at the door for no reason. He told us the terrace lounge closes at 7pm so it was useless for us to go inside. We found it weird and decided to call the hotel, they explained that the lounge was still open and that we needed no reservation to go. As we went back there, we were received by another security guard who tried to stop us but failed since we were determined to talk to someone and let them know what happened to us. They all started coming up with stupid excuses trying to make us understand that it has nothing to do with what we thought it was. It seems like they all have instructions to filter people based on whatever stupid criteria, while we were complaining at the lobby a group of 5 random girls came in without anyone telling them anything at the front door.  That specific day we decided to drive a Seat Leon instead of the Range Rover sport or the Mercedes class E we basically drive. It could have been a viral social experiment if we intended it to be, it would have been a viral video on Tiktok. It is a shame to judge your customers based on what they drive, you don’t know what they carry on their pockets.  This is what customer’s service is like in morocco.  That 1 star is because i had no other choice, it is a no star place to me. And as an owner of a Travel Agency, i will never recommend it to any of my clients.…",1
"Spent couple of nights, great hotel and service. All was excellent with the service and the room beautiful. Food amazing and breakfast excellent and service very friendly. Front desk were amazing and very helpful. we will come back soon.",5
"Excellent service and very nice staff in reception and breakfast service I would like to thank all the staff in the hotel, especially the employee name is (Ayoub), he is very kind and very helpful , all staff are very kind 💐..........................",5
"Excellent Servcie in this modern rabat downtown grandiose venue where I had the chance to spend few business days. The service is rated AAA+, very super friendly staff, extra clean comfortable rooms especially the bed , the pillows, new modern design with 180 degrees tower view on the new city you feel very spoiled. A real definition of a downtown palace. ( near by a lot of shops restaurants coffee shops..)it’s the new rabat fancy area. All the facilities are great: restaurants serves diverses local and international  tasty food while the different atmosphere Are very exquisite,  Also they have the best breakfast buffet in moroccan hôtels with limitless choices all made to the minute: sushi, Salomon, cooking stations, fruits bar, vegetables, a rich combination between locale cuisine and international gastronomy without forgetting the good quality coffees to finish the breakfast in beauty. This Hotel is a must live experience while in rabat…",5
"We stayed here one night while on a group tour.  The hotel is very nice, clean and great staff that works here.  Bed was very comfortable and breakfast was good. Several of my friends went to the spa and they said it was very good service too.  Highly recommend to stay here.",5
