review,rating
Beautiful hotel in the middle of the best part of Tangiers for seeing the sights. The French influence is in every pore. Mainly French guests which was good for me as l can just about make myself understood. The staff were amazing. Highly recommended. Just don't drink in the bar. The prices were seriously taking the P.,4
"A very elegant hotel with lovely decor. Boutique hotel with nice view of the sea. Though not all rooms get a good view. Rooms are small, about 14 by 14 ft, but comfortable. Decent sized bathroom. The rare hotel which has place to put up 2 large bags, though the bag rack takes up space in front of the cupboards. There is no coffee or tea making facilities in the room and the wifi didn't work while we were there. They did not have drinking glasses in the room. But if you can live without the above, then a lovely place to stay.   It has a nice terrace on the ground floor.  Buffet breakfast has a reasonable choice.",4
An historic building .. clean and spacious rooms. Ours had a view over the garden terrace.  All the people working in the hotel were helpful and friendly .. a lovely lady who was cleaning suggested I use the service lift rather than wait for the other lift. Very kind although I ended up in the kitchen 😬 We asked to see the room Matisse painted from  .. number 35. You can stay in the room too I think. A lovely gift for Art lovers.  Easy to get around from here too.  The hotel in on an incline so there are steep slopes and steps to access reception. We arrived very early on the overnight sleeper from Marrakech and they happily let us check in early.  Thoroughly enjoyed our overnight stay and breakfast was super .. lots of beautifully prepared fresh fruit.  Would highly recommend.,5
"This vintage hotel is ideally located on the periphery of the old medina and near the Port. It’s been well -maintained and offers terrace views, piano bar, breakfast room and on-site restaurant. Rooms are comfy but not what you would considered modernized. The breakfast has ample choice but the service was slow. There were a couple of issues with the front desk, and the staff doesn’t appear to be coordinated. Overall the location and the old charm of the property made up for its short-comings.",4
"The hotel is beautifully furnished and decorated.  Many references to Henri Matisse, who stayed here in the early 20th century.  My room was large and overlooked the sea.  Service was excellent at the front desk and in the bar.    the location is super, being just on the edge of the medina and a few blocks from the center of the new city.    I only had breakfast and it was very nice: lots of fresh fruit and cheese and meats.  French pastries.  Excellent coffee.  The desk man is very helpful and engaged a guide for me so I could have a fast tour of the medina and the outskirts of town.  I will stay here when I visit Tangier again, I hope in 2021.",5
"We had severe problems finding someone in the staff who could provide pool towels. Apart from this, we found the hotel great! The pool area is nice (although parasols were a bit past their glory days), and one of the neighbouring hotels has, in fact, a picture of THIS hotel’s pool area as a THEIR ‘view from hotel room’. We walked from the ferry to the hotel, no need for taxi unless you have large suitcases.",4
"How I wanted to see the room where Matisse had painted Window at Tangier so we went up the steps of The Grand, fully expecting it to be occupied. Instead a charming young man took us up to the second floor and unlocked room 35 with the original key. From the window you can look down on St Andrews church, over the bay and across to the mosque on the far hillside. Exactly as Matisse had painted it over 100 years ago. Except the trees have grown to hide the church. The original painting no doubt worth millions is in Russia but a copy with its bright blue edges hangs over the rather small and hard looking bed. From the other window more views of Matisse’s work. Best part of my holiday in Tangier. Well done Grand Hotel!",5
"We selected to stay here as a last night before taking the ferry to go back to Spain. The hotel is outside of the Medina, easier in and out by car We were given a room in the ""old part of the hotel"" Thank God it was one night, the first room we received the bathroom smelled to urine and sewer. Then we asked for a change of rooms, that as granted by the very nice man in the reception. The new room same  part of the hotel had no smell, but mini-refrigerator was leaking water, we called, they cleaned it and next morning another pool of water, we did not care just for one night. Bathroom is falling apart pieces are falling in the shower. We ate in the restaurant that was nice though. Very nice, for Morocco prize expensive, for US price a bargain. We were given a quick breakfast since we left at 6:30 in the morning, that was very nice. All in all I think they promote this as a 5 star hotel, probably 3 because of the restaurant and the pool  that are nice. For the rooms, this is a 2 star hotel I would try to look for another property in Tangier…",3
We used this hotel just to crash for a night and regretted it later because the hotel is at a beautiful location and has great views. The hotel is dated and should get an overhaul but I guess the dated look and feel adds to the old world charm. The room was comfortable. The staff was very helpful. ,4
"Loved this hotel, don't expect modern decor, as old and original. Rooms not huge but comfortable, breakfast adequate, outside garden area great for pre dinner drinks. Set in side of hill, lovely view. Easy walk to market and shops.",5
I loved everything about this hotel with the exception of the bathroom. The drainage was a problem from the very first day. They sent someone but the sink never worked. It is disappointing to stay in such a high quality hotel and not be able to brush your teeth properly.,4
"Old style hotel, well renovated, perched on top of the hill with an excellent view - the walk up the front steps was good exercise!  Good service, great bar, rooms as shown - would stay again if I am back in Tangier",5
"This place is absolutely gorgeous! I felt like we were on a movie set. The views of the city were amazing. The rooms were just as shown on the website, very clean and beautifully decorated.  The staff were always helpful and accomodating. Mourad ( spelling?) the concierge took care of our every request and the bartender, Youseff not only took great care of us but was a wealth of information about the country and the culture.  We hope to go back someday and will definately stay here!",5
