review,rating
"This hotel is unique in its traditional decor and well worth a visit. The family are so accommodating and friendly, the breakfast waiter so nice, definitely will be back. The bedroom was v big, balcony looking out into a lovely garden with outdoor pool.",5
"Having travelled several times to Morocco and stayed in big standard business hotels I was delighted to arrive at this lovely hotel. I found the building very beautiful and I kept taking photos of the Moroccan features. The staff were very helpful and accommodating, arranging taxis for us to be taken around. Hospitality was superb. I really felt like I visited Morocco on this trip. I would love to visit again. Thank you!",5
"We highly recommend this villa for leisurely stay or for event and wedding rentals! We  brought 50 international guests and 50 Moroccan nationals to Villa des Ambassadors for our wedding last Saturday. Every guest complimented the extraordinary beauty and elaborate detail of the venue, and enjoyed the perfectly maintained quiet garden area as well. The villa owners were wonderful to work with and gave my guests the most beautiful setting for my wedding. The grounds workers and cleaners were patient with us and were exceptional in their service. They even returned a guitar to us we had accidentally left behind and were trustworthy and helpful. I recommend everyone spend time in this enchanting villa as I will always remember my experience here, as will my guests from around the world. Thank you for everything! Absolutely stunning venue and excellent service!  Bree and Badr…",5
We stayed with 6 people and a baby in Villa des ambassadors in 3 rooms. The Villa is the perfect place to spend quality time with family or in a couple. The staff is incredibly nice and helpful. The food is absolutely fantastic and the place clean and authentic. The garden is wonderful and the pool is ideal to drink a nice orange juice and relax. The facilities in the room are very good and the bed is hard but comfortable. A special thanks to Abdullah the manager who helped us arrange all transports (with a baby) and informed us by phone we had forgotten a jacket in our room.  We would recommend this place to anyone interested in enjoying a quiet time in Rabat while being close to restaurants and the center.,5
"The villa is located about four miles south of Rabat centre on the broad, impressive Avenue Mohammed VI, but set back from the noisy traffic on its own service road. The traditional Moroccan décor - impressive doors, pillars, marble floors, carpets and heavy furnishings - is gloomy in April (lots of steps, so beware!) but must be delightfully welcoming in high summer.  There are just six rooms, three downstairs and three up. Ours was quite spacious, with a comfortable double bed, perfectly adequate ensuite and a charming balcony with lemon blossom and lemons within touching distance. The restaurant has a limited menu, but the food is delicious. A word of advice, though; alcohol is very expensive (eg. MAD180 for a half-bottle of white wine). The staff are friendly, helpful and welcoming. The garden is lovely, with a decent-sized pool and adjoining children's pool. The nearby storks are a constant source of interest as they fly to and from their incredible nests. The villa is quite far from central Rabat; There is a bus-stop opposite, but we used the blue 'petits taxis' which are so convenient and cheap - about MAD 30 (£2.50) to the centre - and you get to experience the thrill of Moroccan driving! One negative, which disappointed my wife in particular; The villa's haman or Turkish bath is currently closed for renovation.…",5
"My review will only include the lobby and the service. Other reviewers who stayed there will definitely provide better informations on the rooms I've been there to work with one of our business partners. It is very well located but without a car, it is hard to visit the city. The neighborhood is very nice and a walk around the place is a must.  The entrance is somptuous; bold Moroccan architecture. The main door itself is a piece of art. There is a swimming pool in the garden where having breakfast on a sunny day is a nice experience The staff is friendly, helpful, very polite, smiling and better than in regular hotels, but there is a need of hiring more HR because I had the impression that the two peope I saw had many different jobs However, the decoration is ""too much"" and the lobby (in particular the Moroccan salon) looks very dark. Villa des Ambassdors is good for a business trip or a retreat. If you'd like to walk around, meet locals, visit the city, do tourism and stay for more than just a couple of nights, I'd recommend staying in other places…",4
"This hotel is located in a nice neighbourhood, it was the residence of an ambassador before!  6 rooms, traditional style, with nice garden with pool.  Small menu, but very good, and very friendly staff.  I will be back when I come to Rabat!",5
I stayed here for 3 nights while on business in Rabat. The villa is beautifully authentic and it has a nice garden and pool where you can relax after a busy day. It is also one of the best places to eat in Rabat. The staff are very pleasant and helpful and they make you feel at home. There are only 6 rooms so it is not impersonal or noisy and busy like a hotel. The storks and their chicks nesting in the trees by the garden were very interesting to watch.,4
"i loved this place. it's calm, traditional and the staff is very cool. i suggest this place for all the tourists that want a taste of the traditional moroccan architecture. it has a swimming pool if you want to swim",5
"This was my first stay in Morocco (or anywhere in North Africa). I was here for work at the University. This is an EXCELLENT hotel. The standard of accommodation is easily akin to a good 4 star european hotel. The bed very comfortable. The sheets high quality cotton. The downstairs is like something out of the Ottoman Empire and I am not sure I have ever seen such a blinged up dining room. The staff could not be more kind, friendly and helpful. It feels more like staying in someone's house and is more akin to a European Villa than a hotel. Nabil and the gentleman who staffed the reception in the evening were exceptionally good at making sure that all my various needs were met. The only word of caution I would sound is that the hotel is nearly 8K out of town and not on the tram route. It costs between 30 and 50 MAD to get in and out and as long as you have decent French you can persuade a blue taxi. It was certainly a wonderful place to come back to after three long working days.…",5
The staff of the hotel was very welcoming right from the start. The hotel is calm and beautiful with a nice moroccan style and modern facilities. The room was comfortable and large. The bed is perfect. I will come back.,5
"This is a lovely hotel situated in the diplomatic sector. It has traditional Moroccan decor but also has a swimming pool. Don't expect a plastic hotel, this hotel has character. The only downside is that it is difficult to find. But once found it is worth it. It has great staff who are very helpful. Definitely worth using again especially if you don't need to be in the city. ",4
Although a little hard to find because it is actually a residence and hotel it was well worth the search up and down the street it is beautiful inside and we were the only guests but we had a lovely evening meal served to us  and bedroom was perfect .,5
